from;to;distance_m;oneway;highway;name
2190217457;27233870;6.56;0;residential;Rue Philibert Delorme
2190217457;2190217432;109.00;0;residential;Rue Philibert Delorme
2190217432;2190217457;109.00;0;residential;Rue Philibert Delorme
2190217432;27288853;10.11;0;residential;Rue Philibert Delorme
27288853;2190217432;10.11;0;residential;Rue Philibert Delorme
9020073970;9020073971;2.04;1;residential;Rue Philibert Delorme
9020073971;9020073972;1.57;1;residential;Rue Philibert Delorme
9020073972;9020073973;1.73;1;residential;Rue Philibert Delorme
9020073973;1369652169;2.48;1;residential;Rue Philibert Delorme
1369652169;1369652114;32.98;1;residential;Rue Philibert Delorme
1369652114;9028319394;20.93;1;residential;Rue Philibert Delorme
9028319394;27286726;20.06;1;residential;Rue Philibert Delorme
27286726;9028319395;20.37;1;residential;Rue Philibert Delorme
9028319395;9028319393;12.57;1;residential;Rue Philibert Delorme
9028319393;944668514;14.64;1;residential;Rue Philibert Delorme
944668514;9028319392;19.21;1;residential;Rue Philibert Delorme
9028319392;9028319391;11.61;1;residential;Rue Philibert Delorme
9028319391;2190217461;9.44;1;residential;Rue Philibert Delorme
2190217461;9028319390;10.40;1;residential;Rue Philibert Delorme
9028319390;27233870;30.05;1;residential;Rue Philibert Delorme
27233870;2190217459;39.60;1;residential;Rue Nicolas Chuquet
2190217459;9020074050;115.08;1;residential;Rue Nicolas Chuquet
9020074050;9020074049;4.14;1;residential;Rue Nicolas Chuquet
9020074049;2190217466;4.56;1;residential;Rue Nicolas Chuquet
2190217466;9020074048;4.24;1;residential;Rue Nicolas Chuquet
9020074048;9020074047;3.46;1;residential;Rue Nicolas Chuquet
9020074047;9020073974;8.30;1;residential;Rue Nicolas Chuquet
4622395493;11324050341;45.62;1;primary;Boulevard Gouvion-Saint-Cyr
11324050341;11313865525;4.29;1;primary;Boulevard Gouvion-Saint-Cyr
11313865525;11313865524;8.97;1;primary;Boulevard Gouvion-Saint-Cyr
11313865524;11313865542;5.32;1;primary;Boulevard Gouvion-Saint-Cyr
11313865542;11313881528;6.51;1;primary;Boulevard Gouvion-Saint-Cyr
11313881528;11324061313;11.20;1;primary;Boulevard Gouvion-Saint-Cyr
11324061313;27286625;3.95;1;primary;Boulevard Gouvion-Saint-Cyr
27286625;4622395495;3.62;1;primary;Boulevard Gouvion-Saint-Cyr
4622395495;2483766584;36.36;1;primary;Boulevard Gouvion-Saint-Cyr
2483766584;6409834934;67.72;1;primary;Boulevard Gouvion-Saint-Cyr
6409834934;27286624;14.27;1;primary;Boulevard Gouvion-Saint-Cyr
27286624;6409836575;15.39;1;primary;Boulevard Gouvion-Saint-Cyr
6409836575;27286618;54.58;1;primary;Boulevard Gouvion-Saint-Cyr
27286618;5110559211;25.37;1;primary;Boulevard Gouvion-Saint-Cyr
5110559211;27286619;17.31;1;primary;Boulevard Gouvion-Saint-Cyr
27286619;3202256742;36.66;1;primary;Boulevard Gouvion-Saint-Cyr
3202256742;11311444827;4.01;1;primary;Boulevard Gouvion-Saint-Cyr
11311444827;27286611;3.27;1;primary;Boulevard Gouvion-Saint-Cyr
27286610;11311444828;5.85;1;primary;Boulevard Gouvion-Saint-Cyr
11311444828;3202256735;3.97;1;primary;Boulevard Gouvion-Saint-Cyr
3202256735;1015358305;77.62;1;primary;Boulevard Gouvion-Saint-Cyr
1015358305;27286617;6.25;1;primary;Boulevard Gouvion-Saint-Cyr
27286617;5094145553;25.48;1;primary;Boulevard Gouvion-Saint-Cyr
5094145553;12373037854;19.49;1;primary;Boulevard Gouvion-Saint-Cyr
12373037854;6409837505;5.09;1;primary;Boulevard Gouvion-Saint-Cyr
6409837505;27286616;14.55;1;primary;Boulevard Gouvion-Saint-Cyr
6468213268;12286196551;3.40;1;residential;Rue Galvani
12286196551;6468213269;6.74;1;residential;Rue Galvani
6468213269;3202256758;6.14;1;residential;Rue Galvani
3202256758;3202256753;92.56;1;residential;Rue Galvani
3202256753;27235702;6.56;1;residential;Rue Galvani
27235702;3202256743;6.60;1;residential;Rue Galvani
3202256743;6470537484;118.06;1;residential;Rue Galvani
6470537484;27235539;7.69;1;residential;Rue Galvani
6060852533;9022341177;14.26;1;secondary;Boulevard Pereire
9022341177;9844108714;1.76;1;secondary;Boulevard Pereire
9844108714;2722937420;4.17;1;secondary;Boulevard Pereire
2722937420;9022341178;71.80;1;secondary;Boulevard Pereire
9022341178;8659032464;17.11;1;secondary;Boulevard Pereire
8659032464;6060862138;3.01;1;secondary;Boulevard Pereire
6060862138;9028565668;25.71;1;secondary;Boulevard Pereire
27235538;6470512391;6.54;1;residential;Rue Guillaume Tell
6470512391;6864364157;53.35;1;residential;Rue Guillaume Tell
6864364157;27235540;8.23;1;residential;Rue Guillaume Tell
27235540;6470663785;65.26;1;residential;Rue Guillaume Tell
6470663785;27235565;5.45;1;residential;Rue Guillaume Tell
27235565;6470655596;15.99;1;residential;Rue Guillaume Tell
6470655596;6046927621;95.37;1;residential;Rue Guillaume Tell
6046927621;6046931231;3.97;1;residential;Rue Guillaume Tell
6046931231;27235559;12.29;1;residential;Rue Guillaume Tell
12718250680;12718250678;2.64;1;residential;Rue Laugier
12718250678;3202256756;7.67;1;residential;Rue Laugier
3202256756;27235539;180.40;1;residential;Rue Laugier
27235539;6470512647;17.72;1;residential;Rue Laugier
6470512647;27235538;7.02;1;residential;Rue Laugier
27235538;27235537;12.73;1;residential;Rue Laugier
27235537;6470499923;12.33;1;residential;Rue Laugier
6470499923;6470492016;45.81;1;residential;Rue Laugier
6470492016;27235520;5.77;1;residential;Rue Laugier
27235520;11880019783;5.13;1;residential;Rue Laugier
11880019783;3598985972;4.92;1;residential;Rue Laugier
3598985972;27235521;22.11;1;residential;Rue Laugier
27235521;6470481713;4.83;1;residential;Rue Laugier
6470481713;27235522;43.52;1;residential;Rue Laugier
27235522;27235523;13.02;1;residential;Rue Laugier
27235523;6470466100;18.19;1;residential;Rue Laugier
6470466100;303069550;16.74;1;residential;Rue Laugier
303069550;6470454673;47.38;1;residential;Rue Laugier
6470454673;6470455460;32.80;1;residential;Rue Laugier
6470455460;27235503;4.99;1;residential;Rue Laugier
27235503;6470454674;6.94;1;residential;Rue Laugier
6470454674;8553829817;17.47;1;residential;Rue Laugier
8553829817;8143434105;3.65;1;residential;Rue Laugier
8143434105;21660976;12.34;1;residential;Rue Laugier
27233853;11190662309;2.76;0;residential;Rue Ampère
11190662309;27233853;2.76;0;residential;Rue Ampère
11190662309;297207214;3.28;0;residential;Rue Ampère
297207214;11190662309;3.28;0;residential;Rue Ampère
297207214;1369651520;6.72;0;residential;Rue Ampère
1369651520;297207214;6.72;0;residential;Rue Ampère
1369651520;1369651516;12.77;0;residential;Rue Ampère
1369651516;1369651520;12.77;0;residential;Rue Ampère
1369651516;6864250445;199.21;0;residential;Rue Ampère
6864250445;1369651516;199.21;0;residential;Rue Ampère
6864250445;27234189;20.75;0;residential;Rue Ampère
27234189;6864250445;20.75;0;residential;Rue Ampère
27234189;3628689047;83.77;0;residential;Rue Ampère
3628689047;27234189;83.77;0;residential;Rue Ampère
367912;2190217398;8.28;0;residential;Rue Alphonse de Neuville
2190217398;367912;8.28;0;residential;Rue Alphonse de Neuville
2190217398;2190217387;28.48;0;residential;Rue Alphonse de Neuville
2190217387;2190217398;28.48;0;residential;Rue Alphonse de Neuville
2190217387;27233873;6.91;0;residential;Rue Alphonse de Neuville
27233873;2190217387;6.91;0;residential;Rue Alphonse de Neuville
11298541147;12297693027;3.86;1;residential;Rue Eugène Flachat
12297693027;13065385351;6.01;1;residential;Rue Eugène Flachat
13065385351;11298541150;8.25;1;residential;Rue Eugène Flachat
11298541150;11300086413;2.13;1;residential;Rue Eugène Flachat
11300086413;11298541151;2.50;1;residential;Rue Eugène Flachat
11298541151;11298541152;3.08;1;residential;Rue Eugène Flachat
11298541152;2190217439;157.36;1;residential;Rue Eugène Flachat
2190217439;27233866;16.10;1;residential;Rue Eugène Flachat
27233866;2190217429;12.69;1;residential;Rue Verniquet
2190217429;2190217388;39.41;1;residential;Rue Verniquet
2190217388;27233864;10.20;1;residential;Rue Verniquet
367912;2190217409;6.33;0;residential;Rue Alfred Roll
2190217409;367912;6.33;0;residential;Rue Alfred Roll
2190217409;27233866;35.01;0;residential;Rue Alfred Roll
27233866;2190217409;35.01;0;residential;Rue Alfred Roll
27234093;2700086549;12.27;1;residential;Rue Pierre Demours
2700086549;2700086533;60.60;1;residential;Rue Pierre Demours
2700086533;644133;10.07;1;residential;Rue Pierre Demours
644133;10787250444;11.18;1;residential;Rue Pierre Demours
10787250444;1369651289;9.83;1;residential;Rue Pierre Demours
1369651289;1369651267;92.50;1;residential;Rue Pierre Demours
1369651267;27234100;9.18;1;residential;Rue Pierre Demours
5095554625;1107432316;27.32;0;secondary;Avenue de Villiers
1107432316;5095554625;27.32;0;secondary;Avenue de Villiers
1107432316;2190217321;6.91;0;secondary;Avenue de Villiers
2190217321;1107432316;6.91;0;secondary;Avenue de Villiers
2190217321;9647364366;22.62;0;secondary;Avenue de Villiers
9647364366;2190217321;22.62;0;secondary;Avenue de Villiers
9647364366;2700086553;104.24;0;secondary;Avenue de Villiers
2700086553;9647364366;104.24;0;secondary;Avenue de Villiers
2700086553;27234093;8.78;0;secondary;Avenue de Villiers
27234093;2700086553;8.78;0;secondary;Avenue de Villiers
27234093;13233399442;9.39;0;secondary;Avenue de Villiers
13233399442;27234093;9.39;0;secondary;Avenue de Villiers
13233399442;2700086546;83.26;0;secondary;Avenue de Villiers
2700086546;13233399442;83.26;0;secondary;Avenue de Villiers
2700086546;27233893;23.26;0;secondary;Avenue de Villiers
27233893;2700086546;23.26;0;secondary;Avenue de Villiers
268130247;11113798485;7.07;1;residential;Rue Pierre Brossolette
11113798485;8129141894;59.53;1;residential;Rue Pierre Brossolette
8129141894;84724725;6.33;1;residential;Rue Pierre Brossolette
84724725;8129141893;7.60;1;residential;Rue Pierre Brossolette
8129141893;6052680249;81.49;1;residential;Rue Pierre Brossolette
6052680249;268128082;6.90;1;residential;Rue Pierre Brossolette
268128082;6052679859;5.97;1;residential;Rue Pierre Brossolette
6052679859;9300533772;31.84;1;residential;Rue Pierre Brossolette
27235547;11306217484;11.13;1;residential;Avenue Stéphane Mallarmé
11306217484;3202256749;8.60;1;residential;Avenue Stéphane Mallarmé
3202256749;3384820214;28.12;1;residential;Avenue Stéphane Mallarmé
268146910;2183516874;21.14;1;residential;Avenue Stéphane Mallarmé
2183516874;11306166120;3.77;1;residential;Avenue Stéphane Mallarmé
11306166120;11306166150;1.36;1;residential;Avenue Stéphane Mallarmé
11306166150;4279203798;4.77;1;residential;Avenue Stéphane Mallarmé
4279203798;5150632180;2.00;1;residential;Avenue Stéphane Mallarmé
5150632180;11306166030;40.65;1;residential;Avenue Stéphane Mallarmé
11306166030;11306166029;3.49;1;residential;Avenue Stéphane Mallarmé
11306166029;11306166023;18.59;1;residential;Avenue Stéphane Mallarmé
11306166023;11306166022;3.50;1;residential;Avenue Stéphane Mallarmé
11306166022;11306138441;11.51;1;residential;Avenue Stéphane Mallarmé
11306138441;4279203564;11.42;1;residential;Avenue Stéphane Mallarmé
4279203564;27286550;65.37;1;residential;Avenue Stéphane Mallarmé
27286550;11306138439;16.30;1;residential;Avenue Stéphane Mallarmé
11306138439;11306138438;3.36;1;residential;Avenue Stéphane Mallarmé
11306138438;11306138440;3.28;1;residential;Avenue Stéphane Mallarmé
11306138440;11307709001;6.67;1;residential;Avenue Stéphane Mallarmé
442309;11796314926;4.97;0;primary;Place de la Porte de Champerret
11796314926;442309;4.97;0;primary;Place de la Porte de Champerret
11796314926;6049018161;7.84;0;primary;Place de la Porte de Champerret
6049018161;11796314926;7.84;0;primary;Place de la Porte de Champerret
6049018161;3202256750;11.06;0;primary;Place de la Porte de Champerret
3202256750;6049018161;11.06;0;primary;Place de la Porte de Champerret
3202256750;27235582;33.02;0;primary;Place de la Porte de Champerret
27235582;3202256750;33.02;0;primary;Place de la Porte de Champerret
5222287734;11300086328;115.17;1;primary;Boulevard Berthier
11300086328;6307696062;3.77;1;primary;Boulevard Berthier
6307696062;5222287731;15.65;1;primary;Boulevard Berthier
5222287731;6864284893;11.21;1;primary;Boulevard Berthier
6864284893;11300086322;3.74;1;primary;Boulevard Berthier
11300086322;11297920737;24.84;1;primary;Boulevard Berthier
11297920737;6307711638;7.30;1;primary;Boulevard Berthier
1363278104;8085198280;20.91;1;primary;Boulevard Gouvion-Saint-Cyr
8085198280;27286593;97.12;1;primary;Boulevard Gouvion-Saint-Cyr
27233766;3039793990;28.39;1;residential;Rue le Châtelier
3039793990;6046922384;104.35;1;residential;Rue le Châtelier
6046922384;5560768710;3.40;1;residential;Rue le Châtelier
5560768710;27235559;10.45;1;residential;Rue le Châtelier
5110559210;11306138443;67.47;1;residential;Avenue Stéphane Mallarmé
11306138443;11306138442;11.24;1;residential;Avenue Stéphane Mallarmé
11306138442;11306166016;5.71;1;residential;Avenue Stéphane Mallarmé
11306166016;11306166017;3.50;1;residential;Avenue Stéphane Mallarmé
11306166017;27286553;14.31;1;residential;Avenue Stéphane Mallarmé
27286553;11306166028;4.28;1;residential;Avenue Stéphane Mallarmé
11306166028;27286548;3.50;1;residential;Avenue Stéphane Mallarmé
27286611;6468213268;20.02;1;primary;Boulevard Gouvion-Saint-Cyr
9020073792;27286729;4.71;1;residential;Rue Juliette Lamber
27286729;9020073791;1.62;1;residential;Rue Juliette Lamber
9020073791;2722937543;0.69;1;residential;Rue Juliette Lamber
2722937543;9020073790;2.51;1;residential;Rue Juliette Lamber
9020073790;9020073789;0.94;1;residential;Rue Juliette Lamber
9020073789;9020073787;1.10;1;residential;Rue Juliette Lamber
9020073787;9020073788;1.10;1;residential;Rue Juliette Lamber
9020073788;2722937541;1.09;1;residential;Rue Juliette Lamber
2722937541;6466757299;173.25;1;residential;Rue Juliette Lamber
6466757299;9022487544;0.49;1;residential;Rue Juliette Lamber
9022487544;9022486811;0.35;1;residential;Rue Juliette Lamber
9022486811;9022486810;0.43;1;residential;Rue Juliette Lamber
9022486810;9022486809;0.49;1;residential;Rue Juliette Lamber
9022486809;9022486808;0.52;1;residential;Rue Juliette Lamber
9022486808;27288836;5.64;1;residential;Rue Juliette Lamber
27286568;12387270830;15.83;1;residential;Place Jules Renard
12387270830;12387270831;4.91;1;residential;Place Jules Renard
12387270831;11310725674;4.47;1;residential;Place Jules Renard
11310725674;27286593;2.71;1;residential;Place Jules Renard
27286569;4622395362;8.14;1;residential;Rue Alexandre Charpentier
4622395362;27286615;79.12;1;residential;Rue Alexandre Charpentier
27286615;6233699914;23.30;1;residential;Rue Alexandre Charpentier
6233699914;4622395361;2.46;1;residential;Rue Alexandre Charpentier
4622395361;415031222;10.16;1;residential;Rue Alexandre Charpentier
415031222;27286570;9.73;1;residential;Rue Alexandre Charpentier
6394189106;6394189107;12.54;1;residential;Rue Claude Debussy
6394189107;10801601853;1.54;1;residential;Rue Claude Debussy
10801601853;6394189108;4.12;1;residential;Rue Claude Debussy
6394189108;415022353;5.39;1;residential;Rue Claude Debussy
415022353;4622395363;104.46;1;residential;Rue Claude Debussy
4622395363;27286568;5.99;1;residential;Rue Claude Debussy
27286619;11311444850;1.73;1;residential;Rue Aumont-Thiéville
11311444850;11311444848;1.98;1;residential;Rue Aumont-Thiéville
11311444848;11311444807;0.92;1;residential;Rue Aumont-Thiéville
11311444807;11311444849;0.76;1;residential;Rue Aumont-Thiéville
11311444849;11311444851;1.88;1;residential;Rue Aumont-Thiéville
11311444851;8143411250;3.43;1;residential;Rue Aumont-Thiéville
8143411250;2933411625;29.98;1;residential;Rue Aumont-Thiéville
2933411625;6468218010;87.97;1;residential;Rue Aumont-Thiéville
6468218010;27286622;5.74;1;residential;Rue Aumont-Thiéville
9070349987;12718250679;3.79;1;residential;Rue Vernier
12718250679;3202256865;12.04;1;residential;Rue Vernier
3202256865;6468148937;107.98;1;residential;Rue Vernier
6468148937;27235702;5.82;1;residential;Rue Vernier
27235702;3202256863;6.94;1;residential;Rue Vernier
3202256863;6468216538;105.75;1;residential;Rue Vernier
6468216538;27235703;7.67;1;residential;Rue Vernier
5873865355;4944459133;18.82;0;primary;Avenue de Villiers
4944459133;5873865355;18.82;0;primary;Avenue de Villiers
4944459133;13065610130;24.03;0;primary;Avenue de Villiers
13065610130;4944459133;24.03;0;primary;Avenue de Villiers
13065610130;5561542456;4.48;0;primary;Avenue de Villiers
5561542456;13065610130;4.48;0;primary;Avenue de Villiers
5561542456;11930751960;14.80;0;primary;Avenue de Villiers
11930751960;5561542456;14.80;0;primary;Avenue de Villiers
11930751960;5560755450;4.44;0;primary;Avenue de Villiers
5560755450;11930751960;4.44;0;primary;Avenue de Villiers
11298542981;11298542982;1.88;1;residential;Rue de Senlis
11298542982;11300086396;2.36;1;residential;Rue de Senlis
11300086396;11298542983;1.19;1;residential;Rue de Senlis
11298542983;11300086423;4.52;1;residential;Rue de Senlis
11300086423;12685273955;0.88;1;residential;Rue de Senlis
12685273955;11300086424;3.38;1;residential;Rue de Senlis
11300086424;1369651819;10.85;1;residential;Rue de Senlis
1369651819;2722947800;28.47;1;residential;Rue de Senlis
2722947800;34833592;9.51;1;residential;Rue de Senlis
11297920727;27233868;1.78;0;residential;Rue Jules Bourdais
27233868;11297920727;1.78;0;residential;Rue Jules Bourdais
27233868;11300086307;1.48;0;residential;Rue Jules Bourdais
11300086307;27233868;1.48;0;residential;Rue Jules Bourdais
11300086307;5222287730;4.83;0;residential;Rue Jules Bourdais
5222287730;11300086307;4.83;0;residential;Rue Jules Bourdais
5222287730;11300086313;4.22;0;residential;Rue Jules Bourdais
11300086313;5222287730;4.22;0;residential;Rue Jules Bourdais
11300086313;2190217458;5.74;0;residential;Rue Jules Bourdais
2190217458;11300086313;5.74;0;residential;Rue Jules Bourdais
2190217458;11297930414;1.75;0;residential;Rue Jules Bourdais
11297930414;2190217458;1.75;0;residential;Rue Jules Bourdais
11297930414;8104035707;21.69;0;residential;Rue Jules Bourdais
8104035707;11297930414;21.69;0;residential;Rue Jules Bourdais
8104035707;353161033;21.32;0;residential;Rue Jules Bourdais
353161033;8104035707;21.32;0;residential;Rue Jules Bourdais
353161033;6864286535;3.04;0;residential;Rue Jules Bourdais
6864286535;353161033;3.04;0;residential;Rue Jules Bourdais
6864286535;1369651947;12.19;0;residential;Rue Jules Bourdais
1369651947;6864286535;12.19;0;residential;Rue Jules Bourdais
1369651947;2722937534;18.54;0;residential;Rue Jules Bourdais
2722937534;1369651947;18.54;0;residential;Rue Jules Bourdais
2722937534;27323259;20.60;0;residential;Rue Jules Bourdais
27323259;2722937534;20.60;0;residential;Rue Jules Bourdais
27323259;2183516941;38.43;0;residential;Rue Jules Bourdais
2183516941;27323259;38.43;0;residential;Rue Jules Bourdais
2183516941;27323239;9.29;0;residential;Rue Jules Bourdais
27323239;2183516941;9.29;0;residential;Rue Jules Bourdais
5222287725;1366397937;9.24;1;residential;Rue de l'Abbé Rousselot
1366397937;34836995;60.68;1;residential;Rue de l'Abbé Rousselot
34836995;1366397974;65.78;1;residential;Rue de l'Abbé Rousselot
1366397974;27286738;7.09;1;residential;Rue de l'Abbé Rousselot
27323248;1366398065;5.68;1;residential;Rue Jean-Louis Forain
1366398065;34837038;24.07;1;residential;Rue Jean-Louis Forain
34837038;2183517022;9.20;1;residential;Rue Jean-Louis Forain
2183517022;2183517005;40.59;1;residential;Rue Jean-Louis Forain
2183517005;34837037;6.50;1;residential;Rue Jean-Louis Forain
34837037;2722937556;23.60;1;residential;Rue Jean-Louis Forain
2722937556;34836995;10.09;1;residential;Rue Jean-Louis Forain
34837038;2183517047;4.76;1;residential;Rue Camille Pissarro
2183517047;2183517027;45.74;1;residential;Rue Camille Pissarro
2183517027;34837075;5.45;1;residential;Rue Camille Pissarro
34837156;2183517002;5.56;1;residential;Rue Gauguin
2183517002;2183517003;46.02;1;residential;Rue Gauguin
2183517003;34837037;5.66;1;residential;Rue Gauguin
27234189;6864254321;12.36;1;residential;Rue Puvis de Chavannes
6864254321;2190217373;124.14;1;residential;Rue Puvis de Chavannes
2190217373;27233862;8.91;1;residential;Rue Puvis de Chavannes
6046934308;4622395514;16.11;1;residential;Rue d'Héliopolis
4622395514;303073603;35.96;1;residential;Rue d'Héliopolis
303073603;303070078;71.04;1;residential;Rue d'Héliopolis
303070078;6470658044;6.29;1;residential;Rue d'Héliopolis
6470658044;27235565;8.39;1;residential;Rue d'Héliopolis
27235547;12286196554;4.25;1;residential;Rue Descombes
12286196554;6046958099;4.53;1;residential;Rue Descombes
6046958099;4622395512;4.18;1;residential;Rue Descombes
4622395512;9020788220;4.11;1;residential;Rue Descombes
27235582;11307633465;7.69;1;residential;Place de la Porte de Champerret
11307633465;6468114963;31.50;1;residential;Place de la Porte de Champerret
6046934308;27235555;16.06;0;residential;Place Stuart Merrill
27235555;6046934308;16.06;0;residential;Place Stuart Merrill
