id;lat;lon
367906;48.8848378;2.2966493
367908;48.8853590;2.2972610
367909;48.8853516;2.2973991
367910;48.8848995;2.2979224
367911;48.8845175;2.2971781
367912;48.8869037;2.3011542
367913;48.8874793;2.3049813
442309;48.8856830;2.2915029
442319;48.8874974;2.2947714
442320;48.8894508;2.2991349
442321;48.8910624;2.3025282
537209;48.8934879;2.3033472
537210;48.8936999;2.3037021
644133;48.8839595;2.3003070
21292442;48.8874309;2.3044406
21292444;48.8875609;2.3048345
21292445;48.8872133;2.3045704
21292446;48.8871979;2.3048469
21292448;48.8858694;2.3064298
21292449;48.8852235;2.3072141
21292453;48.8883386;2.2939521
21292454;48.8870919;2.2895689
21292455;48.8879346;2.2888176
21292457;48.8881156;2.2886372
21292459;48.8879106;2.2887199
21292460;48.8880063;2.2888777
21292461;48.8881228;2.2887593
21292462;48.8880241;2.2885498
21292467;48.8905600;2.2917325
21292468;48.8921412;2.2902947
21292469;48.8951334;2.2876460
21292471;48.8995810;2.2839579
21292473;48.9005693;2.2830520
21292475;48.8991411;2.2785947
21292476;48.8974806;2.2801536
21292484;48.9035514;2.2681357
21660976;48.8812718;2.2955218
27233726;48.8851024;2.2978724
27233732;48.8845903;2.2976597
27233736;48.8846328;2.2968278
27233741;48.8860008;2.2987565
27233745;48.8864598;2.2998107
27233754;48.8852917;2.2969355
27233766;48.8864662;2.2957668
27233779;48.8860382;2.2972919
27233782;48.8871048;2.2976699
27233804;48.8871447;2.2974904
27233853;48.8854029;2.2984706
27233856;48.8856798;2.2990154
27233858;48.8861239;2.3000703
27233862;48.8862959;2.3005606
27233864;48.8866770;2.3004376
27233866;48.8871874;2.3007889
27233868;48.8880540;2.2996995
27233870;48.8880826;2.3023016
27233873;48.8866026;2.3015371
27233893;48.8842578;2.3026608
27233905;48.8838166;2.3047736
27233920;48.8835547;2.3043154
27234045;48.8835944;2.3058121
27234052;48.8835478;2.3060266
27234076;48.8832695;2.3019395
27234093;48.8844558;2.3011045
27234100;48.8833209;2.2989387
27234149;48.8829298;2.2963839
27234162;48.8832769;2.2965575
27234189;48.8852769;2.3018068
27234190;48.8821905;2.3011631
27234193;48.8817397;2.3005245
27234213;48.8832876;2.3072650
27234261;48.8866879;2.3054213
27234301;48.8878365;2.3070802
27235503;48.8815576;2.2951808
27235518;48.8839540;2.2950204
27235519;48.8837348;2.2953062
27235520;48.8831219;2.2934865
27235521;48.8828874;2.2937428
27235522;48.8825360;2.2941323
27235523;48.8824432;2.2942409
27235531;48.8819264;2.2919654
27235533;48.8821524;2.2916998
27235535;48.8826338;2.2925870
27235537;48.8835900;2.2929802
27235538;48.8836804;2.2928734
27235539;48.8838563;2.2926662
27235540;48.8840477;2.2936190
27235547;48.8856411;2.2917707
27235555;48.8855298;2.2932341
27235559;48.8851505;2.2956663
27235565;48.8844144;2.2944085
27235576;48.8854559;2.2911569
27235582;48.8857814;2.2907396
27235702;48.8839920;2.2908680
27235703;48.8829111;2.2907814
27235714;48.8808492;2.2899684
27235722;48.8815793;2.2913232
27286547;48.8861383;2.2925813
27286548;48.8870666;2.2940592
27286550;48.8864547;2.2927988
27286551;48.8860795;2.2921175
27286553;48.8870185;2.2939819
27286555;48.8862751;2.2946449
27286556;48.8864286;2.2952917
27286559;48.8869423;2.2909304
27286560;48.8866549;2.2913192
27286561;48.8859963;2.2890999
27286563;48.8866801;2.2904904
27286564;48.8873797;2.2916386
27286568;48.8845830;2.2892124
27286569;48.8842719;2.2887441
27286570;48.8845311;2.2870232
27286593;48.8843964;2.2894669
27286610;48.8841034;2.2890014
27286611;48.8839979;2.2891053
27286613;48.8840449;2.2862568
27286615;48.8843642;2.2875591
27286616;48.8831260;2.2874275
27286617;48.8835257;2.2880687
27286618;48.8834621;2.2882453
27286619;48.8837267;2.2886683
27286620;48.8835522;2.2855067
27286621;48.8830991;2.2847788
27286622;48.8828810;2.2899440
27286623;48.8831596;2.2904809
27286624;48.8830282;2.2875524
27286625;48.8822708;2.2863458
27286639;48.8836309;2.2867734
27286640;48.8826972;2.2841008
27286726;48.8890802;2.3031638
27286729;48.8888618;2.3043855
27286735;48.8899160;2.3026397
27286738;48.8899266;2.3001346
27286745;48.8896637;2.3028829
27286746;48.8891050;2.3078785
27288814;48.8859041;2.3038636
27288836;48.8877507;2.3063133
27288853;48.8870372;2.3016482
27288856;48.8871864;2.3047644
27288863;48.8875415;2.3045477
27288869;48.8902666;2.3045620
27288878;48.8867572;2.3021497
27313190;48.8874497;2.3037375
27313192;48.8870176;2.3033658
27323194;48.8874504;2.2964844
27323229;48.8875144;2.2967123
27323238;48.8885670;2.2972242
27323239;48.8888447;2.2978324
27323248;48.8902813;2.3008979
27323249;48.8907697;2.3019276
27323259;48.8886215;2.2983899
27323270;48.8904221;2.3019340
27323274;48.8884029;2.3002897
27323277;48.8886453;2.3008010
27323288;48.8896847;2.2996301
27323303;48.8903940;2.3026955
27323304;48.8906305;2.3031232
27323334;48.8906702;2.3049975
27323391;48.8926198;2.3045299
27323392;48.8926871;2.3044351
27323394;48.8920446;2.3033088
27323397;48.8924033;2.3025976
27323399;48.8917243;2.3037201
27339844;48.8869285;2.2978354
34833592;48.8878580;2.2976782
34836995;48.8893943;2.3007158
34837037;48.8895652;2.3010959
34837038;48.8900694;2.3011399
34837075;48.8900423;2.3019041
34837156;48.8895544;2.3018767
84724725;48.8948829;2.2911740
84888189;48.8980613;2.2679837
84888192;48.8993164;2.2713168
84888195;48.9002451;2.2738768
84888198;48.9006831;2.2751630
84888199;48.9012847;2.2771995
84888212;48.9034048;2.2843750
84888215;48.9038217;2.2851386
84888220;48.9049416;2.2877364
84888223;48.9048524;2.2879308
84888241;48.9016788;2.2913146
84888242;48.9015365;2.2914894
84888244;48.9009768;2.2924707
84888245;48.9000829;2.2927728
84888246;48.8992652;2.2934533
84888248;48.8982800;2.2943374
84888251;48.8967963;2.2956774
84888253;48.8965088;2.2949794
86035535;48.8992002;2.2967125
86035543;48.8980815;2.2762224
86035544;48.8972070;2.2739139
86035545;48.8957873;2.2716585
114914034;48.8960954;2.2932048
114914036;48.8955748;2.2936031
114914038;48.8956973;2.2931054
129939502;48.8880597;2.2755814
130072310;48.8962815;2.2684393
130072312;48.8976925;2.2722986
130072313;48.8975886;2.2724490
130072314;48.8973811;2.2723594
130072315;48.8955125;2.2693372
130074001;48.9058526;2.2892110
206237482;48.9064484;2.2846322
206237540;48.9058938;2.2852109
206238826;48.9044770;2.2788522
206238827;48.9041756;2.2782879
206239388;48.9068119;2.2856902
206239429;48.9060416;2.2865342
206239461;48.9055279;2.2871577
206239472;48.9067249;2.2891248
206239828;48.9064681;2.2860507
206257463;48.9061813;2.2813493
206257464;48.9063821;2.2805889
206257468;48.9066643;2.2759438
206352800;48.9054631;2.2785317
206352801;48.9047618;2.2792758
206353411;48.9052159;2.2779515
206353412;48.9053414;2.2778049
206353413;48.9057000;2.2771265
206353704;48.9059409;2.2797027
206354495;48.9009067;2.2925964
221232581;48.8836266;2.2725312
221232919;48.8838194;2.2717015
221232927;48.8818683;2.2704688
221235640;48.8844389;2.2690262
221237384;48.8825584;2.2772779
221239441;48.8857908;2.2788438
221239445;48.8843385;2.2782089
221240211;48.8851124;2.2740275
221240512;48.8848421;2.2754320
221242234;48.8859810;2.2688371
221242236;48.8854569;2.2698236
221243566;48.8865343;2.2747893
221243567;48.8858589;2.2744212
221243568;48.8838695;2.2733719
221252886;48.8850699;2.2677273
221253486;48.8871126;2.2702104
221253488;48.8882172;2.2715711
221253490;48.8894096;2.2729978
221255369;48.8882002;2.2646435
221255373;48.8906852;2.2703994
221255375;48.8923814;2.2743222
221255377;48.8935686;2.2773081
221255380;48.8941285;2.2789381
221255381;48.8944302;2.2796829
221255383;48.8949349;2.2809419
221255385;48.8953954;2.2820371
221255386;48.8958188;2.2830234
221255389;48.8964258;2.2844499
221255390;48.8963926;2.2865859
221255392;48.8966383;2.2875165
221255393;48.8968445;2.2883747
221256013;48.8974014;2.2906817
221256014;48.8977119;2.2919744
224543848;48.8897326;2.2765936
229097047;48.8950180;2.2963560
229097050;48.8930281;2.2986578
229318498;48.8967629;2.2985112
229318501;48.8944144;2.2929728
229318503;48.8939754;2.2919622
229318506;48.8921248;2.2876934
229318508;48.8912879;2.2857853
229318510;48.8898369;2.2823456
229318513;48.8891476;2.2807423
241495963;48.8868064;2.2832684
243646380;48.8906851;2.2791113
243646381;48.8932660;2.2764313
243646383;48.8929394;2.2895819
245089362;48.8973759;2.2999168
245089364;48.8988526;2.3035173
245089366;48.8995616;2.3052289
245089367;48.9000272;2.3062240
245089848;48.9029235;2.3063207
245089850;48.9034862;2.3057868
245089853;48.9046233;2.3045491
245090124;48.9072851;2.3003462
245090125;48.9062391;2.3012015
245090127;48.9059272;2.3014419
245090128;48.9054624;2.3018137
245090129;48.9059289;2.2975722
245090560;48.9073332;2.3037574
245090562;48.9051226;2.3056155
245091166;48.9049243;2.3007295
245091167;48.9057508;2.2997984
245091327;48.9031400;2.3026963
245091328;48.9041291;2.3016252
245091433;48.9034016;2.3001541
245091434;48.9037619;2.3008699
245091712;48.9042279;2.2992997
245091905;48.9027002;2.3020983
245092453;48.9033671;2.3035140
245092456;48.9022637;2.3044080
245092457;48.9011594;2.3052722
245099449;48.9029888;2.2971958
245099681;48.9021117;2.2956336
245099682;48.9025018;2.2963992
245100208;48.9017302;2.2948776
245100320;48.9015410;2.2944180
245100469;48.9012005;2.2935452
245101037;48.9052063;2.2982983
248315670;48.9018960;2.2801981
249394624;48.9025983;2.2826039
249394659;48.9034361;2.2830711
249485554;48.9008828;2.3055065
249485880;48.9025894;2.3053320
249485881;48.9017058;2.3065032
249486102;48.9031483;2.3048869
249486221;48.9041157;2.3028839
249486340;48.9045879;2.3044637
249486342;48.9044523;2.3034826
249487105;48.9005550;2.3041834
249487113;48.9015105;2.3031547
249487432;48.9021014;2.3025046
249488137;48.9010291;2.3036808
249488462;48.8975291;2.3074248
249488989;48.8959904;2.3049901
249488991;48.8965188;2.3062814
249488992;48.8966723;2.3065901
249489298;48.9029651;2.3003743
249489299;48.9025163;2.3005890
249489300;48.9014086;2.3010899
249489934;48.9002083;2.3021155
249490757;48.9010264;2.3003133
249490875;48.8998192;2.2976916
249490876;48.8999771;2.2979821
249490877;48.9005687;2.2991933
249490878;48.9007260;2.2995244
249491106;48.8984985;2.2951279
249491117;48.8989583;2.2962658
249491240;48.9009687;2.2927500
249491260;48.8994194;2.2952179
249491306;48.8997611;2.2976034
249491432;48.9001376;2.2996664
249491433;48.9003161;2.3000491
249492219;48.9018846;2.2993413
249492221;48.9025612;2.2985591
249492661;48.9030175;2.3016383
249749720;48.8927039;2.3006158
249749949;48.8957226;2.3071922
251825266;48.9046353;2.2818470
251825267;48.9041263;2.2810504
251825557;48.9037546;2.2803340
251825559;48.9022684;2.2815630
